"","State","Date","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"494","Illinois",2020-03-21,"Social distancing","Mass gathering cancellation","Outdoor activities",NA
"495","Illinois",2020-03-21,"Social distancing","Mass gathering cancellation","Indoor activities",NA
"496","Illinois",2020-03-21,"Social distancing","Mass gathering cancellation","Outdoor activities","Leisure outdoor activities"
"497","Illinois",2020-03-21,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend vulnerable populations to stay at home: elderly and with chronic health conditions"
"498","Illinois",2020-03-21,"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Encourage to not shake hands"
"499","Illinois",2020-03-21,"Risk communication","Actively communicate with healthcare professionals","Encourage hand hygiene","Washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer"
"500","Illinois",2020-03-21,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"501","Illinois",2020-03-21,"Social distancing","Small gathering cancellation","Limit up to 10 persons","Everywhere"
"502","Illinois",2020-03-23,"Risk communication","Actively communicate with managers","Recommendations for schools","Recommendations for e-learning"
"503","Illinois",2020-03-24,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Ease the recruitment of healthcare workers"
"504","Illinois",2020-03-26,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","No more admissions"
"505","Illinois",2020-03-26,"Social distancing","Small gathering cancellation","Reduce close physical contact in workplaces","Reduce close physical contact in for notary functions"
"506","Illinois",2020-03-26,"Social distancing","Closure of educational institutions","Complete closure of all educational institutions","Kindergartens, primary and secondary schools, universities"
"507","Illinois",2020-04-01,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"508","Illinois",2020-04-01,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"509","Illinois",2020-04-01,"Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals",NA
"510","Illinois",2020-04-01,"Healthcare and public health capacity","Increase patient capacity","Beds",NA
"511","Indiana",2020-03-06,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"512","Indiana",2020-03-08,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"513","Indiana",2020-03-13,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease hour restrictions for motor carriers and drivers who deliver food"
"514","Indiana",2020-03-16,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"515","Indiana",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"516","Indiana",2020-03-16,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"517","Indiana",2020-03-16,"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"518","Indiana",2020-03-19,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"519","Indiana",2020-03-19,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"520","Indiana",2020-03-19,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"521","Indiana",2020-03-19,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Extension of health insurance"
"522","Indiana",2020-03-19,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"523","Indiana",2020-03-19,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"524","Indiana",2020-03-20,"Travel restriction","National lockdown","Stay-at-home Order",NA
"525","Indiana",2020-03-20,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"526","Indiana",2020-03-23,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","Access to government buildings restricted to services essential to public health and safety"
"527","Indiana",2020-03-23,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"528","Indiana",2020-03-23,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"529","Indiana",2020-03-25,"Social distancing","Mass gathering cancellation","Outdoor activities",NA
"530","Indiana",2020-03-25,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend vulnerable populations to stay at home: elderly and with chronic health conditions"
"531","Indiana",2020-03-25,"Social distancing","Mass gathering cancellation","Indoor activities",NA
"532","Indiana",2020-03-25,"Social distancing","Mass gathering cancellation","Festivals, faith-based events",NA
"533","Indiana",2020-03-25,"Social distancing","Mass gathering cancellation","Conferences, meetings, trade fairs, etc.",NA
"534","Indiana",2020-03-25,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"535","Indiana",2020-03-25,"Social distancing","Small gathering cancellation","Closure of non-essential shops",NA
"536","Indiana",2020-03-25,"Social distancing","Small gathering cancellation","Mandatory home office",NA
"537","Indiana",2020-03-25,"Social distancing","Mass gathering cancellation","Closure of non-essential working places",NA
"538","Indiana",2020-03-25,"Social distancing","Small gathering cancellation","Limit up to 10 persons","In essential businesses"
"539","Indiana",2020-03-25,"Risk communication","Actively communicate with healthcare professionals","Encourage hand hygiene","Washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer"
"540","Indiana",2020-03-25,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"541","Indiana",2020-03-25,"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Encourage to not shake hands"
"542","Indiana",2020-03-26,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"543","Indiana",2020-03-26,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"544","Indiana",2020-03-26,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Staffing requirements for pharmacies suspended"
"545","Indiana",2020-03-30,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize audio-only call for health care services"
"546","Indiana",2020-03-30,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"547","Indiana",2020-03-30,"Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions",NA
"548","Indiana",2020-04-01,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"549","Indiana",2020-04-02,"Risk communication","Actively communicate with managers","Recommendations for schools","Recommendations for e-learning"
"550","Indiana",2020-04-07,"Social distancing","Measures for special populations","Measures to protect vulnerable populations","Essential businesses and operations shall implement separate operating hours for high risk customers"
"551","Indiana",2020-04-07,"Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special hours for the elderly to cover their basic needs"
"552","Indiana",2020-04-07,"Social distancing","Special measures for certain establishments","Grocery stores","Limitation on the number of customers to respect social distancing"
"553","Indiana",2020-04-07,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Barber shops, tattoo parlors"
"554","Indiana",2020-04-07,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"555","Indiana",2020-04-07,"Social distancing","Mass gathering cancellation","Outdoor activities","closure of playgrounds"
"556","Indiana",2020-04-07,"Travel restriction","Individual movement restrictions","Movements for non-essential<U+00A0>activities forbidden",NA
"557","Indiana",2020-04-08,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"558","Iowa",2020-03-09,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"559","Iowa",2020-03-09,"Healthcare and public health capacity","Increase in medical supplies and equipment","Increase delivery capacity for medical supplies","Ease hour restrictions for motor carriers and drivers who deliver medical supplies"
"560","Iowa",2020-03-13,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for necessity goods","Ease hour restrictions for motor carriers and drivers who necessity goods"
"561","Iowa",2020-03-17,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"562","Iowa",2020-03-17,"Social distancing","Mass gathering cancellation","Indoor activities","Bars, clubs, casinos"
"563","Iowa",2020-03-17,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"564","Iowa",2020-03-17,"Social distancing","Mass gathering cancellation","Closure of adult daycare facilities","Closure of senior citizen centers and adult daycare facilities"
"565","Iowa",2020-03-17,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize telemedicine"
"566","Iowa",2020-03-17,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Reactivate license/renew license of healthcare workers"
"567","Iowa",2020-03-17,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"568","Iowa",2020-03-17,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"569","Iowa",2020-03-19,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"570","Iowa",2020-03-19,"Social distancing","Special measures for certain establishments","Alcohol sellers","Alcoholic beverages can be delivered"
"571","Iowa",2020-03-22,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for pharmacists"
"572","Iowa",2020-03-23,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of salons, medical spas, barbershops, tattoo extalishments, tanning facilities, massage therapy extablishments, and swimming pools"
"573","Iowa",2020-03-26,"Social distancing","Mass gathering cancellation","Cultural places and events",NA
"574","Iowa",2020-03-26,"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Health checks for healthcare professionals"
"575","Iowa",2020-03-27,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of florists, jewelry stores, book stores, clothing stores, luggage stores, cosmetic, beauty and perfume stores, and furniture stores"
"576","Iowa",2020-03-28,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals","All non-essential surgeries that utilize PPE"
"577","Iowa",2020-03-31,"Social distancing","Special measures for certain establishments","Alcohol sellers","Alcoholic beverages can be delivered"
"578","Iowa",2020-04-02,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"579","Iowa",2020-04-02,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"580","Iowa",2020-04-07,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of malls, cigarette, tobacco and vaping stores, toy, gaming, music, movie stores"
"581","Kansas",2020-03-12,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"582","Kansas",2020-03-17,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"583","Kansas",2020-03-17,"Social distancing","Mass gathering cancellation","Cultural places and events",NA
"584","Kansas",2020-03-17,"Social distancing","Mass gathering cancellation","Outdoor activities","closure of pools"
"585","Kansas",2020-03-17,"Social distancing","Mass gathering cancellation","Indoor activities",NA
"586","Kansas",2020-03-17,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"587","Kansas",2020-03-17,"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Flexibility in bill payment for vulnerable customers"
"588","Kansas",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"589","Kansas",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"590","Kansas",2020-03-17,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"591","Kansas",2020-03-20,"Risk communication","Actively communicate with healthcare professionals","Recommendations to physicians","Encourage telemedicine"
"592","Kansas",2020-03-20,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","Ease restrictions for transporters"
"593","Kansas",2020-03-23,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"594","Kansas",2020-03-23,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"595","Kansas",2020-03-23,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"596","Kansas",2020-03-25,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"597","Kansas",2020-03-30,"Travel restriction","National lockdown","Stay-at-home Order",NA
"598","Kansas",2020-03-31,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"599","Kansas",2020-04-08,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"600","Kansas",2020-04-08,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"601","Kansas",2020-04-08,"Social distancing","Mass gathering cancellation","Places of worship","Partial"
"602","Kansas",2020-04-08,"Social distancing","Mass gathering cancellation","Cultural places and events","Partial"
"603","Kentucky",2020-03-06,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"604","Kentucky",2020-03-06,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"605","Kentucky",2020-03-06,"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19",NA
"606","Kentucky",2020-03-06,"Risk communication","Actively communicate with healthcare professionals","Encourage hand hygiene","Washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer"
"607","Kentucky",2020-03-06,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"608","Kentucky",2020-03-06,"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms",NA
"609","Kentucky",2020-03-06,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"610","Kentucky",2020-03-07,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend the elderly to stay at home"
"611","Kentucky",2020-03-07,"Risk communication","Actively communicate with managers","Recommendations for work safety protocols","Encourage businesses to implement sick leave policies"
"612","Kentucky",2020-03-07,"Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotline covid-19"
"613","Kentucky",2020-03-09,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Extension of health insurance"
"614","Kentucky",2020-03-10,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Visit restriction in prisons and youth detention centers"
"615","Kentucky",2020-03-10,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"616","Kentucky",2020-03-10,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Limited visits to long-term care facilities and nursing homes, except in an end-of-life situation."
"617","Kentucky",2020-03-11,"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Recommendation for home office"
"618","Kentucky",2020-03-11,"Healthcare and public health capacity","Increase healthcare workforce","Movement restriction of healthcare professionals","Travel ban for healthcare professionals"
"619","Kentucky",2020-03-11,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Discourage gathering"
"620","Kentucky",2020-03-11,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"621","Kentucky",2020-03-13,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"622","Kentucky",2020-03-13,"Social distancing","Measures for special populations","Measures to limit contact to the elderly","Provide assistance to the elderly who stay at home"
"623","Kentucky",2020-03-14,"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Provide free testing"
"624","Kentucky",2020-03-14,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","Ease restrictions for transporters"
"625","Kentucky",2020-03-15,"Social distancing","Return operation of nationals","Return operation of nationals on the Grand Princess cruise ship","Special measure: Quarantine"
"626","Kentucky",2020-03-16,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"627","Kentucky",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"628","Kentucky",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"629","Kentucky",2020-03-16,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"630","Kentucky",2020-03-16,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"631","Kentucky",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"632","Kentucky",2020-03-17,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"633","Kentucky",2020-03-17,"Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Restrict visits in psychiatric facilities"
"634","Kentucky",2020-03-18,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"635","Kentucky",2020-03-18,"Social distancing","Mass gathering cancellation","Cultural places and events","Public-facing business that cannot respect rules of social distancing"
"636","Kentucky",2020-03-18,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","Public-facing business that cannot respect rules of social distancing"
"637","Kentucky",2020-03-18,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","All state government buildings closed to the public"
"638","Kentucky",2020-03-18,"Social distancing","Mass gathering cancellation","Cultural places and events","Charitable gaming licenses"
"639","Kentucky",2020-03-18,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"640","Kentucky",2020-03-19,"Social distancing","Mass gathering cancellation","Sport events",NA
"641","Kentucky",2020-03-19,"Social distancing","Mass gathering cancellation","Festivals, faith-based events",NA
"642","Kentucky",2020-03-19,"Social distancing","Mass gathering cancellation","Cultural places and events","Concerts"
"643","Kentucky",2020-03-19,"Social distancing","Mass gathering cancellation","Outdoor activities",NA
"644","Kentucky",2020-03-19,"Social distancing","Special measures for certain establishments","Alcohol sellers","Alcoholic beverages can be delivered"
"645","Kentucky",2020-03-19,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"646","Kentucky",2020-03-20,"Social distancing","Mass gathering cancellation","Closure of adult daycare facilities",NA
"647","Kentucky",2020-03-23,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"648","Kentucky",2020-03-23,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"649","Kentucky",2020-03-24,"Social distancing","Small gathering cancellation","Closure of non-essential shops","All in-person retail businesses that are not life-sustaining"
"650","Kentucky",2020-03-24,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","State workers helping at food banks"
"651","Kentucky",2020-03-24,"Social distancing","Closure of educational institutions","Restrictions on exams","Exams postponed"
"652","Kentucky",2020-03-25,"Social distancing","Small gathering cancellation","Mandatory home office","Applies only to non-essential businesses"
"653","Kentucky",2020-03-25,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"654","Kentucky",2020-03-25,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"655","Kentucky",2020-03-26,"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce social distancing"
"656","Kentucky",2020-03-26,"Risk communication","Educate and actively communicate with the public","Foster community assistance","Encourage donation for covid19 crisis"
"657","Kentucky",2020-03-27,"Social distancing","Mass gathering cancellation","Closure of non-essential working places",NA
"658","Kentucky",2020-03-27,"Social distancing","Small gathering cancellation","Mandatory home office",NA
"659","Kentucky",2020-03-27,"Resource allocation","Police and army interventions","To collect data and samples for tests","Data collection and management"
"660","Kentucky",2020-03-28,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Travel to Tennessee forbidden"
"661","Kentucky",2020-03-30,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Out-of-state travel forbidden"
"662","Kentucky",2020-03-31,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"663","Kentucky",2020-03-31,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Recruitment of healthcare workers on the frontline"
"664","Kentucky",2020-04-02,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Out-of-state travel forbidden"
"665","Kentucky",2020-04-02,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"666","Kentucky",2020-04-02,"Risk communication","Educate and actively communicate with the public","Foster community assistance","Encourage donation for covid19 crisis"
"667","Kentucky",2020-04-02,"Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","Convert state fairgrounds into a 2,000-bed makeshift hospital"
"668","Kentucky",2020-04-03,"Social distancing","Small gathering cancellation","Closure of short-term accommodation","Partial: Remain open at day"
"669","Kentucky",2020-04-05,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase testing capacity (number tests)","Increase test availability"
"670","Louisiana",2020-03-09,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"671","Louisiana",2020-03-09,"Risk communication","Actively communicate with healthcare professionals","Encourage hand hygiene","Washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer"
"672","Louisiana",2020-03-09,"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms",NA
"673","Louisiana",2020-03-09,"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection","Disinfection of frequently touched surfaces"
"674","Louisiana",2020-03-09,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"675","Louisiana",2020-03-11,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"676","Louisiana",2020-03-11,"Travel restriction","Border restriction","Travel ban to high-risk areas","For state employees"
"677","Louisiana",2020-03-11,"Travel restriction","Individual movement restrictions","Partial restriction on movements","Visits to quarantined household forbidden"
"678","Louisiana",2020-03-11,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease hour restrictions for motor carriers and drivers who deliver food"
"679","Louisiana",2020-03-11,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"680","Louisiana",2020-03-13,"Social distancing","Mass gathering cancellation","Limit up to 250 persons",NA
"681","Louisiana",2020-03-13,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Deadline for expiration of documents extended"
"682","Louisiana",2020-03-13,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"683","Louisiana",2020-03-13,"Social distancing","Mass gathering cancellation","Indoor activities","Charitable Raffle and Bingo closed"
"684","Louisiana",2020-03-13,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"685","Louisiana",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"686","Louisiana",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"687","Louisiana",2020-03-16,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"688","Louisiana",2020-03-17,"Social distancing","Mass gathering cancellation","Cultural places and events","Movie theatres"
"689","Louisiana",2020-03-17,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"690","Louisiana",2020-03-17,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"691","Louisiana",2020-03-17,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"692","Louisiana",2020-03-18,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Digital driver's licence"
"693","Louisiana",2020-03-19,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Global economic support to workers, employers and businesses"
"694","Louisiana",2020-03-19,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase laboratory facilities","More laboratory dedicated"
"695","Louisiana",2020-03-23,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","All state government buildings closed to the public"
"696","Louisiana",2020-03-23,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"697","Louisiana",2020-03-23,"Travel restriction","National lockdown","Stay-at-home Order",NA
"698","Louisiana",2020-03-23,"Social distancing","Mass gathering cancellation","Sport events",NA
"699","Louisiana",2020-03-23,"Social distancing","Mass gathering cancellation","Outdoor activities",NA
"700","Louisiana",2020-03-23,"Social distancing","Small gathering cancellation","Closure of non-essential shops",NA
"701","Louisiana",2020-03-23,"Social distancing","Mass gathering cancellation","Closure of non-essential public places",NA
"702","Louisiana",2020-03-23,"Social distancing","Mass gathering cancellation","Closure of non-essential working places",NA
"703","Louisiana",2020-03-25,"Resource allocation","Activate or establish emergency response","Risk management plan","Emergency plan"
"704","Louisiana",2020-03-27,"Risk communication","Actively communicate with managers","Answer to questions","Help desk for businesses"
"705","Louisiana",2020-03-27,"Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",NA
"706","Louisiana",2020-03-31,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"707","Louisiana",2020-03-31,"Social distancing","Small gathering cancellation","Restriction on private and familial events","Funerals: Limit up to 10 persons"
"708","Louisiana",2020-04-01,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"709","Louisiana",2020-04-02,"Risk communication","Educate and actively communicate with the public","Implement communication tool","Text alert system"
"710","Louisiana",2020-04-07,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"711","Louisiana",2020-04-07,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Healthcare providers excluded from paid and unpaid leave"
"712","Louisiana",2020-04-09,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","For children"
"713","Louisiana",2020-04-10,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"714","Louisiana",2020-04-10,"Risk communication","Educate and actively communicate with the public","Direct government communication","Campaign to support the restaurant industry"
"715","Louisiana",2020-04-14,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"716","Maine",2020-03-02,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"717","Maine",2020-03-09,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"718","Maine",2020-03-11,"Resource allocation","Crisis management plans","Financial aid for health system","From CDC"
"719","Maine",2020-03-12,"Social distancing","Mass gathering cancellation","Limit up to 250 persons",NA
"720","Maine",2020-03-12,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Out-of-state travel forbidden"
"721","Maine",2020-03-15,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"722","Maine",2020-03-15,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"723","Maine",2020-03-15,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"724","Maine",2020-03-15,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"725","Maine",2020-03-15,"Social distancing","Small gathering cancellation","Limit up to 10 persons","When at-risk people involved"
"726","Maine",2020-03-15,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"727","Maine",2020-03-16,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"728","Maine",2020-03-16,"Resource allocation","Crisis management plans","Financial aid for health system","Supplemental budget for health care"
"729","Maine",2020-03-16,"Social distancing","Mass gathering cancellation","Festivals, faith-based events","Cancellation of Saint Patrick celebrations"
"730","Maine",2020-03-17,"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Paper products, cleaning supplies, food"
"731","Maine",2020-03-17,"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Water"
"732","Maine",2020-03-17,"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Hand sanitizer and personal hygiene products"
"733","Maine",2020-03-17,"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies","Medicine and medical supplies"
"734","Maine",2020-03-17,"Resource allocation","Crisis management plans","State aid, taxation and social security","Guarantee loans for individuals"
"735","Maine",2020-03-17,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
